pair_id,index_symbol,carrier,leg,horizon,index_row,timestamp,direction
000852.SH:R1_A:354524:354521,000852.SH,512100.SH,control,240,354761,2021-01-27T13:01:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,event,0,354630,2021-01-26T14:50:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,event,1,354631,2021-01-26T14:51:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,event,5,354635,2021-01-26T14:55:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,event,15,354645,2021-01-27T09:35:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,event,30,354660,2021-01-27T09:50:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,event,60,354690,2021-01-27T10:20:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,event,120,354750,2021-01-27T11:20:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,event,240,354870,2021-01-27T14:50:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,control,0,368319,2021-04-23T14:59:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,control,1,368320,2021-04-23T15:00:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,control,5,368324,2021-04-26T09:34:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,control,15,368334,2021-04-26T09:44:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,control,30,368349,2021-04-26T09:59:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,control,60,368379,2021-04-26T10:29:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,control,120,368439,2021-04-26T11:29:00+08:00,-1
000852.SH:R1_A:354630:368319,000852.SH,512100.SH,control,240,368559,2021-04-26T14:59:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,event,0,354742,2021-01-27T11:12:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,event,1,354743,2021-01-27T11:13:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,event,5,354747,2021-01-27T11:17:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,event,15,354757,2021-01-27T11:27:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,event,30,354772,2021-01-27T13:12:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,event,60,354802,2021-01-27T13:42:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,event,120,354862,2021-01-27T14:42:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,event,240,354982,2021-01-28T11:12:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,control,0,404439,2021-12-07T11:29:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,control,1,404440,2021-12-07T11:30:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,control,5,404444,2021-12-07T13:04:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,control,15,404454,2021-12-07T13:14:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,control,30,404469,2021-12-07T13:29:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,control,60,404499,2021-12-07T13:59:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,control,120,404559,2021-12-07T14:59:00+08:00,-1
000852.SH:R1_A:354742:404439,000852.SH,512100.SH,control,240,404679,2021-12-08T11:29:00+08:00,-1
000852.SH:R1_A:355134:355133,000852.SH,512100.SH,event,0,355134,2021-01-29T09:44:00+08:00,-1
000852.SH:R1_A:355134:355133,000852.SH,512100.SH,event,1,355135,2021-01-29T09:45:00+08:00,-1
000852.SH:R1_A:355134:355133,000852.SH,512100.SH,event,5,355139,2021-01-29T09:49:00+08:00,-1
000852.SH:R1_A:355134:355133,000852.SH,512100.SH,event,15,355149,2021-01-29T09:59:00+08:00,-1
000852.SH:R1_A:355134:355133,000852.SH,512100.SH,event,30,355164,2021-01-29T10:14:00+08:00,-1
000852.SH:R1_A:355134:355133,000852.SH,512100.SH,event,60,355194,2021-01-29T10:44:00+08:00,-1
000852.SH:R1_A:355134:355133,000852.SH,512100.SH,event,120,355254,2021-01-29T13:14:00+08:00,-1
000852.SH:R1_A:355134:355133,000852.SH,512100.SH,event,240,355374,2021-02-01T09:44:00+08:00,-1
