contract_code,option_type,strike,expiry,timestamp,bid1,bid1_size,ask1,ask1_size,last_price,volume,open_interest,trading_status
MO2302-C-5800,C,5800.0,2023-02-17,2022-12-06 09:32:49.9,879.8,6,892.8,6,867.4,0,2,TRADING
MO2212-P-8200,P,8200.0,2022-12-16,2022-12-06 09:32:49.9,1489.2,6,1498.6,6,1518.8,0,55,TRADING
MO2212-C-6200,C,6200.0,2022-12-16,2022-12-06 09:32:49.9,506.0,6,512.4,6,491.0,0,219,TRADING
MO2212-C-6400,C,6400.0,2022-12-16,2022-12-06 09:32:49.9,315.6,6,322.8,22,312.6,1,521,TRADING
MO2212-C-6600,C,6600.0,2022-12-16,2022-12-06 09:32:49.9,155.2,10,158.4,3,156.0,70,1244,TRADING
MO2212-C-6800,C,6800.0,2022-12-16,2022-12-06 09:32:49.9,57.6,1,58.8,3,58.4,285,3652,TRADING
MO2212-C-7000,C,7000.0,2022-12-16,2022-12-06 09:32:49.9,17.8,23,18.4,13,17.8,94,2756,TRADING
MO2212-C-7200,C,7200.0,2022-12-16,2022-12-06 09:32:49.9,5.4,19,5.8,52,5.4,22,1881,TRADING
MO2212-C-7400,C,7400.0,2022-12-16,2022-12-06 09:32:49.9,2.0,6,2.2,18,1.8,0,905,TRADING
MO2212-C-7600,C,7600.0,2022-12-16,2022-12-06 09:32:49.9,1.0,23,1.2,10,1.2,0,589,TRADING
MO2212-C-7800,C,7800.0,2022-12-16,2022-12-06 09:32:49.9,0.8,10,1.0,36,0.8,0,227,TRADING
MO2212-P-6200,P,6200.0,2022-12-16,2022-12-06 09:32:49.9,2.8,16,3.0,15,3.0,21,2036,TRADING
MO2212-P-6400,P,6400.0,2022-12-16,2022-12-06 09:32:49.9,12.4,6,12.8,5,12.6,63,2551,TRADING
MO2212-P-6600,P,6600.0,2022-12-16,2022-12-06 09:32:49.9,50.4,3,50.8,1,50.8,148,2256,TRADING
MO2212-P-6800,P,6800.0,2022-12-16,2022-12-06 09:32:49.9,150.2,1,153.4,6,151.8,0,510,TRADING
MO2212-P-7000,P,7000.0,2022-12-16,2022-12-06 09:32:49.9,308.2,6,314.2,6,314.0,0,127,TRADING
MO2212-P-7200,P,7200.0,2022-12-16,2022-12-06 09:32:49.9,494.2,15,502.0,6,493.8,0,111,TRADING
MO2212-P-7400,P,7400.0,2022-12-16,2022-12-06 09:32:49.9,690.4,4,698.6,6,691.6,0,60,TRADING
MO2212-P-7600,P,7600.0,2022-12-16,2022-12-06 09:32:49.9,890.2,6,898.4,6,919.0,0,44,TRADING
MO2212-P-7800,P,7800.0,2022-12-16,2022-12-06 09:32:49.9,1090.2,6,1098.4,6,1297.4,0,81,TRADING
MO2303-C-6200,C,6200.0,2023-03-17,2022-12-06 09:32:49.9,545.0,6,556.0,6,476.2,0,219,TRADING
MO2303-C-6400,C,6400.0,2023-03-17,2022-12-06 09:32:49.9,411.8,2,424.4,22,413.0,0,167,TRADING
MO2303-C-6600,C,6600.0,2023-03-17,2022-12-06 09:32:49.9,305.6,1,313.6,6,310.0,0,138,TRADING
MO2303-C-6800,C,6800.0,2023-03-17,2022-12-06 09:32:49.9,217.8,1,226.6,6,224.2,0,217,TRADING
MO2303-C-7000,C,7000.0,2023-03-17,2022-12-06 09:32:49.9,151.0,1,157.6,1,153.8,0,366,TRADING
