horizon,group,field,absolute_error
5,YEAR_2016,past_mean_forecast_mse_bp2,2.72848410531878e-12
5,YEAR_2016,positive_loss_improvement_fraction,0
5,YEAR_2016,relative_mse_reduction,1.94289029309402e-16
5,YEAR_2016,target_mean_bp,2.66453525910038e-15
5,YEAR_2016,target_median_bp,4.44089209850063e-15
5,YEAR_2016,zero_forecast_mse_bp2,2.72848410531878e-12
5,YEAR_2017,enhanced_mae_bp,2.48689957516035e-14
5,YEAR_2017,enhanced_mean_error_bp,6.21724893790088e-15
5,YEAR_2017,enhanced_mean_prediction_bp,1.77635683940025e-15
5,YEAR_2017,enhanced_mse_bp2,1.70530256582424e-13
5,YEAR_2017,enhanced_rmse_bp,1.77635683940025e-14
5,YEAR_2017,mean_loss_improvement_bp2,7.105427357601e-14
5,YEAR_2017,median_loss_improvement_bp2,1.4210854715202e-14
5,YEAR_2017,parent_mae_bp,0
5,YEAR_2017,parent_mean_error_bp,1.55431223447522e-15
5,YEAR_2017,parent_mean_prediction_bp,1.11022302462516e-16
5,YEAR_2017,parent_mse_bp2,4.83169060316868e-13
5,YEAR_2017,parent_rmse_bp,4.08562073062058e-14
5,YEAR_2017,past_mean_forecast_mse_bp2,8.5265128291212e-14
5,YEAR_2017,positive_loss_improvement_fraction,3.33066907387547e-16
5,YEAR_2017,relative_mse_reduction,2.4980018054066e-16
5,YEAR_2017,target_mean_bp,4.44089209850063e-15
5,YEAR_2017,target_median_bp,4.44089209850063e-16
5,YEAR_2017,zero_forecast_mse_bp2,5.11590769747272e-13
5,YEAR_2018,enhanced_mae_bp,2.1316282072803e-14
5,YEAR_2018,enhanced_mean_error_bp,5.32907051820075e-15
5,YEAR_2018,enhanced_mean_prediction_bp,4.44089209850063e-15
5,YEAR_2018,enhanced_mse_bp2,4.54747350886464e-13
5,YEAR_2018,enhanced_rmse_bp,1.77635683940025e-14
5,YEAR_2018,mean_loss_improvement_bp2,5.6843418860808e-14
5,YEAR_2018,median_loss_improvement_bp2,7.105427357601e-15
5,YEAR_2018,parent_mae_bp,4.44089209850063e-14
5,YEAR_2018,parent_mean_error_bp,1.77635683940025e-15
5,YEAR_2018,parent_mean_prediction_bp,2.79290479632266e-16
5,YEAR_2018,parent_mse_bp2,1.70530256582424e-13
5,YEAR_2018,parent_rmse_bp,2.1316282072803e-14
5,YEAR_2018,past_mean_forecast_mse_bp2,3.41060513164848e-13
5,YEAR_2018,positive_loss_improvement_fraction,4.44089209850063e-16
5,YEAR_2018,relative_mse_reduction,2.77555756156289e-17
5,YEAR_2018,target_mean_bp,2.1094237467878e-15
5,YEAR_2018,target_median_bp,0
5,YEAR_2018,zero_forecast_mse_bp2,1.13686837721616e-13
5,YEAR_2019,enhanced_mae_bp,7.105427357601e-15
5,YEAR_2019,enhanced_mean_error_bp,8.88178419700125e-16
5,YEAR_2019,enhanced_mean_prediction_bp,2.66453525910038e-15
