carrier,study,horizon,group,old_n,new_n,gate_pass_after_known_patch,membership_changed,etf_event_old_mean_bp,etf_event_new_mean_bp,etf_event_mean_change_bp,etf_control_old_mean_bp,etf_control_new_mean_bp,etf_control_mean_change_bp,etf_incremental_old_mean_bp,etf_incremental_new_mean_bp,etf_incremental_mean_change_bp
588000.SH,published_endpoint,15,2023,235,235,True,False,-4.22911899296643,-4.22911899296643,0,2.12024603863535,2.12024603863535,0,-6.34936503160174,-6.34936503160174,0
588000.SH,published_endpoint,15,2024,436,436,True,False,11.8773175598331,11.8773175598331,0,2.38139663618034,2.38139663618034,0,9.49592092365274,9.49592092365274,0
588000.SH,published_endpoint,15,2025,386,386,True,False,-1.8580964909964,-1.8580964909964,0,2.20450996313172,2.20450996313172,0,-4.06260645412812,-4.06260645412812,0
588000.SH,published_endpoint,15,LONG,869,869,True,False,4.349329312009,4.349329312009,0,-0.846184954298841,-0.846184954298841,0,5.19551426630785,5.19551426630785,0
588000.SH,published_endpoint,15,SHORT,933,933,True,False,3.03344868901503,3.03344868901503,0,1.85038087630997,1.85038087630997,0,1.18306781270507,1.18306781270507,0
588000.SH,published_endpoint,30,ALL,1801,1801,True,False,5.43418191629374,5.43418191629374,0,1.47104631365346,1.47104631365346,0,3.96313560264027,3.96313560264027,0
588000.SH,published_endpoint,30,2021,336,336,True,False,6.82315911135095,6.82315911135095,0,0.104010832689685,0.104010832689685,0,6.71914827866126,6.71914827866126,0
588000.SH,published_endpoint,30,2022,409,409,True,False,7.15660455360669,7.15660455360669,0,-7.58421745963293,-7.58421745963293,0,14.7408220132396,14.7408220132396,0
588000.SH,published_endpoint,30,2023,235,235,True,False,-4.0914348234488,-4.0914348234488,0,1.00153602603185,1.00153602603185,0,-5.09297084948059,-5.09297084948059,0
588000.SH,published_endpoint,30,2024,435,435,True,False,12.3502132809762,12.3502132809762,0,4.74579508302463,4.74579508302463,0,7.60441819795155,7.60441819795155,0
588000.SH,published_endpoint,30,2025,386,386,True,False,0.405371278994265,0.405371278994265,0,8.85121731829744,8.85121731829744,0,-8.44584603930323,-8.44584603930323,0
588000.SH,published_endpoint,30,LONG,868,868,True,False,6.69236438241987,6.69236438241987,0,1.34153616010846,1.34153616010846,0,5.35082822231139,5.35082822231139,0
588000.SH,published_endpoint,30,SHORT,933,933,True,False,4.26365417717532,4.26365417717532,0,1.59153378769103,1.59153378769103,0,2.67212038948428,2.67212038948428,0
588000.SH,published_endpoint,60,ALL,1801,1801,True,False,3.93550525566301,3.93550525566301,0,2.37585663412888,2.37585663412888,0,1.55964862153416,1.55964862153416,0
588000.SH,published_endpoint,60,2021,336,336,True,False,4.37431065671477,4.37431065671477,0,2.14115921649064,2.14115921649064,0,2.23315144022413,2.23315144022413,0
588000.SH,published_endpoint,60,2022,409,409,True,False,6.51213662152611,6.51213662152611,0,-18.0209813149045,-18.0209813149045,0,24.5331179364307,24.5331179364307,0
588000.SH,published_endpoint,60,2023,235,235,True,False,-9.25743749572018,-9.25743749572018,0,-3.41379037548443,-3.41379037548443,0,-5.84364712023577,-5.84364712023577,0
588000.SH,published_endpoint,60,2024,435,435,True,False,13.3467154461375,13.3467154461375,0,12.3296788144916,12.3296788144916,0,1.01703663164593,1.01703663164593,0
588000.SH,published_endpoint,60,2025,386,386,True,False,-1.75054585747877,-1.75054585747877,0,16.4997412255342,16.4997412255342,0,-18.250287083013,-18.250287083013,0
588000.SH,published_endpoint,60,LONG,868,868,True,False,10.9859734155544,10.9859734155544,0,0.514918103705759,0.514918103705759,0,10.4710553118487,10.4710553118487,0
588000.SH,published_endpoint,60,SHORT,933,933,True,False,-2.6237727323174,-2.6237727323174,0,4.1071477856908,4.1071477856908,0,-6.73092051800819,-6.73092051800819,0
588000.SH,published_endpoint,120,ALL,1802,1802,True,False,3.18081701962805,3.18081701962805,0,1.05333204394714,1.05333204394714,0,2.12748497568094,2.12748497568094,0
588000.SH,published_endpoint,120,2021,336,336,True,False,-2.71951720253139,-2.71951720253139,0,2.6417952102852,2.6417952102852,0,-5.3613124128166,-5.3613124128166,0
588000.SH,published_endpoint,120,2022,409,409,True,False,1.15607710552973,1.15607710552973,0,-20.2158448451008,-20.2158448451008,0,21.3719219506305,21.3719219506305,0
588000.SH,published_endpoint,120,2023,235,235,True,False,-10.3571309752734,-10.3571309752734,0,-3.59044956562496,-3.59044956562496,0,-6.76668140964831,-6.76668140964831,0
588000.SH,published_endpoint,120,2024,436,436,True,False,20.4381009171971,20.4381009171971,0,13.5917331298501,13.5917331298501,0,6.84636778734706,6.84636778734706,0
