source,symbol,trading_day,from_state,to_state,change_start_time,event_time,bar_ordinal_day,judge_center_eligible_ordinal,judge_available_eligible_ordinal,judge_available_event_time,matched,match_id,event_role,eligible_ordinal
independent_judge_center_v3,000852.SH,2017-02-23,UpTrend,Shock,2017-02-23 13:25:00+08:00,2017-02-23 13:30:00+08:00,29,17.0,25.0,2017-02-23 14:10:00+08:00,True,44,judge,
independent_judge_center_v3,000852.SH,2017-02-28,UpTrend,Range,2017-02-28 13:10:00+08:00,2017-02-28 13:15:00+08:00,26,14.0,22.0,2017-02-28 13:55:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-03-03,UpTrend,Range,2017-03-03 13:40:00+08:00,2017-03-03 13:45:00+08:00,32,20.0,28.0,2017-03-03 14:25:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-03-07,DownTrend,UpTrend,2017-03-07 13:30:00+08:00,2017-03-07 13:35:00+08:00,30,18.0,26.0,2017-03-07 14:15:00+08:00,True,45,judge,
independent_judge_center_v3,000852.SH,2017-03-08,Range,DownTrend,2017-03-08 13:25:00+08:00,2017-03-08 13:30:00+08:00,29,17.0,25.0,2017-03-08 14:10:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-03-10,UpTrend,Range,2017-03-10 13:40:00+08:00,2017-03-10 13:45:00+08:00,32,20.0,28.0,2017-03-10 14:25:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-03-16,Range,UpTrend,2017-03-16 13:20:00+08:00,2017-03-16 13:25:00+08:00,28,16.0,24.0,2017-03-16 14:05:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-03-20,Range,DownTrend,2017-03-20 13:15:00+08:00,2017-03-20 13:20:00+08:00,27,15.0,23.0,2017-03-20 14:00:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-03-21,UpTrend,DownTrend,2017-03-21 13:35:00+08:00,2017-03-21 13:40:00+08:00,31,19.0,27.0,2017-03-21 14:20:00+08:00,True,46,judge,
independent_judge_center_v3,000852.SH,2017-03-22,Shock,UpTrend,2017-03-22 13:15:00+08:00,2017-03-22 13:20:00+08:00,27,15.0,23.0,2017-03-22 14:00:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2017-03-24,DownTrend,Range,2017-03-24 13:15:00+08:00,2017-03-24 13:20:00+08:00,27,15.0,23.0,2017-03-24 14:00:00+08:00,False,,judge,
