carrier,legacy_label,convention,scope,left_label,right_label,legacy_volume_raw,legacy_open,legacy_high,legacy_low,legacy_close,tick_rows,tick_volume_raw,tick_open_x10000,tick_high_x10000,tick_low_x10000,tick_close_x10000,left_exact_tick_rows,right_exact_tick_rows,volume_equal_without_unit_conversion,legacy_minus_tick_volume_raw,open_equal_declared_scale,high_equal_declared_scale,low_equal_declared_scale,close_equal_declared_scale,all_ohlc_equal_declared_scale,legacy_zero_nonflat
588000,2025-12-01T09:42:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:42:00,2025-12-01 09:43:00,103353.0,1.384,1.385,1.384,1.385,587,11322700.0,13850,13870,13850,13870,0,0,False,-11219347.0,False,False,False,False,False,False
588000,2025-12-01T09:43:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:42:00,2025-12-01 09:43:00,117977.0,1.385,1.387,1.385,1.387,587,11322700.0,13850,13870,13850,13870,0,0,False,-11204723.0,True,True,True,True,True,False
588000,2025-12-01T09:43:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:42:00,2025-12-01 09:43:00,117977.0,1.385,1.387,1.385,1.387,587,11322700.0,13850,13870,13850,13870,0,0,False,-11204723.0,True,True,True,True,True,False
588000,2025-12-01T09:43:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:43:00,2025-12-01 09:44:00,117977.0,1.385,1.387,1.385,1.387,685,12302600.0,13870,13890,13870,13880,0,0,False,-12184623.0,False,False,False,False,False,False
588000,2025-12-01T09:43:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:43:00,2025-12-01 09:44:00,117977.0,1.385,1.387,1.385,1.387,685,12302600.0,13870,13890,13870,13880,0,0,False,-12184623.0,False,False,False,False,False,False
588000,2025-12-01T09:44:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:43:00,2025-12-01 09:44:00,121679.0,1.387,1.389,1.387,1.387,685,12302600.0,13870,13890,13870,13880,0,0,False,-12180921.0,True,True,True,False,False,False
588000,2025-12-01T09:44:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:43:00,2025-12-01 09:44:00,121679.0,1.387,1.389,1.387,1.387,685,12302600.0,13870,13890,13870,13880,0,0,False,-12180921.0,True,True,True,False,False,False
588000,2025-12-01T09:44:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:44:00,2025-12-01 09:45:00,121679.0,1.387,1.389,1.387,1.387,623,10913300.0,13870,13890,13870,13890,0,0,False,-10791621.0,True,True,True,False,False,False
588000,2025-12-01T09:44:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:44:00,2025-12-01 09:45:00,121679.0,1.387,1.389,1.387,1.387,623,10913300.0,13870,13890,13870,13890,0,0,False,-10791621.0,True,True,True,False,False,False
588000,2025-12-01T09:45:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:44:00,2025-12-01 09:45:00,108530.0,1.388,1.389,1.388,1.389,623,10913300.0,13870,13890,13870,13890,0,0,False,-10804770.0,False,True,False,True,False,False
588000,2025-12-01T09:45:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:44:00,2025-12-01 09:45:00,108530.0,1.388,1.389,1.388,1.389,623,10913300.0,13870,13890,13870,13890,0,0,False,-10804770.0,False,True,False,True,False,False
