layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,spec,effect_bp_ASSUMED,target_positive_detection,family_size,required_trading_days_CONDITIONAL,expected_eligible_pairs_CONDITIONAL,equivalent_years_NOT_FORECAST,independent_equivalent_n_required_NOT_actual_count,critical_z,not_confirmatory_sample_size
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,6,0.8,28,134,144,0.5528052805280528,84.4349198769568,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,6,0.9,28,165,177,0.6806930693069306,104.20918881777231,3.1237346303238454,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,2,0.8,1,723,759,2.9826732673267324,572.1059919139655,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,2,0.9,1,968,1016,3.993399339933993,765.8876038981232,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,4,0.8,1,181,190,0.7466996699669967,143.02649797849136,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,4,0.9,1,242,254,0.9983498349834983,191.4719009745308,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,6,0.8,1,81,85,0.3341584158415842,63.56733243488506,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,6,0.9,1,108,114,0.44554455445544555,85.09862265534703,1.959963984540054,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,2,0.8,7,1149,1205,4.74009900990099,909.16769917948,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,2,0.9,7,1453,1524,5.994224422442244,1149.7758611944823,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,4,0.8,7,288,303,1.188118811881188,227.29192479487,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,4,0.9,7,364,382,1.5016501650165017,287.4439652986206,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,6,0.8,7,128,135,0.528052805280528,101.01863324216446,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,6,0.9,7,162,170,0.6683168316831684,127.75287346605361,2.690109527158867,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,2,0.8,14,1299,1363,5.358910891089109,1027.943145155341,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,2,0.9,14,1621,1700,6.6872937293729375,1282.8925614114612,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,4,0.8,14,325,341,1.3407590759075907,256.98578628883524,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,4,0.9,14,406,426,1.674917491749175,320.7231403528653,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,6,0.8,14,145,153,0.5981848184818481,114.21590501726013,2.9137263183343394,True
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,1,1271,1212,L20_shift0,6,0.9,14,181,190,0.7466996699669967,142.5436179346068,2.9137263183343394,True
