layer,index_symbol,carrier,horizon,effect_bp_ASSUMED,family_size,target_power,budget_trading_days,prior_required_days_CONDITIONAL,required_variance_ratio,required_variance_reduction,required_information_multiplier,balanced_independent_controls_limit_ratio,infinite_controls_sufficient_in_balanced_model,measured_R_squared,real_matching_changed
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,6,14,0.8,486,12236.686993100195,0.039716632473645604,0.9602833675263543,25.178368298560073,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,2,1,0.8,243,99818.4027019628,0.002434420842472785,0.9975655791575272,410.77531976116376,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,2,1,0.8,486,99818.4027019628,0.00486884168494557,0.9951311583150544,205.38765988058188,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,2,14,0.8,243,179350.75714653305,0.0013548869481574827,0.9986451130518426,738.0689594507534,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,2,14,0.8,486,179350.75714653305,0.0027097738963149653,0.997290226103685,369.0344797253767,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,4,1,0.8,243,24954.6006754907,0.00973768336989114,0.9902623166301089,102.69382994029094,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,4,1,0.8,486,24954.6006754907,0.01947536673978228,0.9805246332602178,51.34691497014547,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,4,14,0.8,243,44837.689286633264,0.005419547792629931,0.99458045220737,184.51723986268834,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,4,14,0.8,486,44837.689286633264,0.010839095585259861,0.9891609044147401,92.25861993134417,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,6,1,0.8,243,11090.933633551422,0.021909787582255067,0.978090212417745,45.641702195684864,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,6,1,0.8,486,11090.933633551422,0.043819575164510134,0.9561804248354898,22.820851097842432,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,6,14,0.8,243,19927.86190517034,0.012193982533417344,0.9878060174665827,82.00766216119482,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,120,6,14,0.8,486,19927.86190517034,0.024387965066834688,0.9756120349331653,41.00383108059741,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,2,1,0.8,243,101507.5600915816,0.0023939103627430495,0.9976060896372569,417.7265847390189,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,120,2,1,0.8,486,101507.5600915816,0.004787820725486099,0.9952121792745139,208.86329236950945,0.5,False,False,False
