symbol,cell,event_day,control_day,event_entry_idx,control_entry_idx,side,parent_direction,horizon,event_signed_return,control_signed_return,incremental_return,match_distance
000688.SH,R1_A,2025-03-28,2025-08-01,272162,292567,LONG,1,5,-0.0016460590284423926,0.002508599555293589,-0.004154658583735982,0.5958125793857242
000688.SH,R1_A,2025-03-28,2025-08-01,272162,292567,LONG,1,15,-0.0043735405581289966,-0.0010262452726202964,-0.0033472952855087,0.5958125793857242
000688.SH,R1_A,2025-03-28,2025-08-01,272162,292567,LONG,1,30,-0.008287715805994744,-0.0018909519375130968,-0.0063967638684816475,0.5958125793857242
000688.SH,R1_A,2025-03-28,2025-08-01,272162,292567,LONG,1,60,-0.00802932281897184,-0.00582489214922377,-0.0022044306697480698,0.5958125793857242
000688.SH,R1_A,2025-03-28,2025-08-01,272162,292567,LONG,1,120,-0.012345442713317833,-0.01370227484368769,0.001356832130369856,0.5958125793857242
000688.SH,R1_A,2025-03-28,2025-08-01,272162,292567,LONG,1,240,-0.01851816406997675,-0.00939774606130872,-0.00912041800866803,0.5958125793857242
000688.SH,R1_A,2025-03-31,2025-03-31,272407,272406,LONG,1,1,-0.0009537527250077504,-0.0016614362193095866,0.0007076834943018362,0.11791401134657506
000688.SH,R1_A,2025-03-31,2025-03-31,272407,272406,LONG,1,5,-0.002948847710993463,-0.0037406604937670895,0.0007918127827736265,0.11791401134657506
000688.SH,R1_A,2025-03-31,2025-03-31,272407,272406,LONG,1,15,-0.0070460915602615914,-0.007840813034987404,0.0007947214747258124,0.11791401134657506
000688.SH,R1_A,2025-03-31,2025-03-31,272407,272406,LONG,1,30,0.0008466988477111581,0.00020403602693286338,0.0006426628207782947,0.11791401134657506
000688.SH,R1_A,2025-03-31,2025-03-31,272407,272406,LONG,1,60,-0.00734778885082521,-0.009949185313292475,0.0026013964624672647,0.11791401134657506
000688.SH,R1_A,2025-03-31,2025-03-31,272407,272406,LONG,1,120,-0.011542354406726907,-0.011668917540297086,0.0001265631335701789,0.11791401134657506
000688.SH,R1_A,2025-03-31,2025-03-31,272407,272406,LONG,1,240,0.0007688414824043033,-0.0018071762385474255,0.0025760177209517288,0.11791401134657506
000688.SH,R1_A,2025-03-31,2025-09-02,272439,297871,SHORT,-1,1,0.0014286547320543352,-0.001877822322240208,0.003306477054294543,0.5928447605353107
000688.SH,R1_A,2025-03-31,2025-09-02,272439,297871,SHORT,-1,5,0.003712558555406642,-0.0007004575328992679,0.00441301608830591,0.5928447605353107
