symbol,cell,event_day,event_entry_idx,control_day,control_entry_idx,side,parent_direction,clock_bucket,calendar_year,severity,match_distance,event_parent_abs_drift,event_parent_efficiency,event_log1p_parent_age_bars,event_local_vol_30_over_240,control_parent_abs_drift,control_parent_efficiency,control_log1p_parent_age_bars,control_local_vol_30_over_240
000688.SH,R1_B,2023-04-04,157286,2023-04-04,157285,LONG,1,21,2023,1.2971779602305173,0.10937147774365555,0.6070854384301315,0.1038136826783114,2.0794415416798357,1.5055227220156169,0.6070854384301315,0.1038136826783114,1.9459101490553132,1.5039027237233975
000688.SH,R1_B,2023-04-06,157561,2023-04-06,157560,LONG,1,26,2023,1.143092746339357,0.06518588302252097,0.21949770687697628,0.08753572639635582,2.639057329615259,1.0016092773219478,0.21949770687697628,0.08753572639635582,2.5649493574615367,1.0093300333778414
000688.SH,R1_B,2023-04-12,158548,2023-04-12,158547,SHORT,-1,26,2023,1.6402272677760377,0.0062397341676393315,0.4290323984618998,0.10153948757850262,4.882801922586371,0.8142391847518564,0.4290323984618998,0.10153948757850262,4.875197323201151,0.8140880457119357
000688.SH,R1_B,2023-04-13,158763,2023-09-12,183508,SHORT,-1,26,2023,0.5672014232230079,0.31465392516744284,0.3664669198716387,0.06361022790015826,4.804021044733257,0.6571396416929135,0.3249424675418273,0.0620187181613552,4.927253685157205,0.7337991806923435
000688.SH,R1_B,2023-04-14,158902,2023-09-13,183609,SHORT,-1,19,2023,0.9841659352126603,0.21634798551579815,0.3664669198716387,0.06361022790015826,5.564520407322694,1.7346907858300409,0.3249424675418273,0.0620187181613552,5.476463551931511,1.7037114991821911
000688.SH,R1_B,2023-04-14,159016,2023-02-09,148201,SHORT,-1,26,2023,2.571171562022263,0.29015181906592685,0.1970559631062764,0.02560804932480978,4.0943445622221,1.176487789290897,0.2180994970847027,0.030699492413343694,4.382026634673881,1.1856758986204177
000688.SH,R1_B,2023-04-18,159384,2023-04-18,159383,LONG,1,19,2023,1.7978642451890823,0.1899212663529239,0.13913198870671775,0.02456477624692964,4.912654885736052,1.6133817152327867,0.13913198870671775,0.02456477624692964,4.90527477843843,1.5521302328162945
000688.SH,R1_B,2023-04-20,159841,2023-10-16,187683,LONG,1,19,2023,1.3096920847704447,0.5769837874634527,0.0037749016796753293,0.0005789430154659899,3.9889840465642745,1.2183905558391463,0.10290455667678969,0.0064066082375324185,4.418840607796598,1.1871227714487103
000688.SH,R1_B,2023-04-20,159957,2023-02-02,146971,LONG,1,22,2023,0.7086122734617575,0.4024008454317538,0.2790758677238111,0.05207785376117875,4.68213122712422,0.7700714180858342,0.3641122455626685,0.05548291157090505,4.762173934797756,0.7232969414670638
000688.SH,R1_B,2023-04-21,160276,2023-04-21,160275,SHORT,-1,28,2023,1.0006213999155658,0.06559076289510035,0.12613656584720534,0.024797924358846465,2.5649493574615367,1.0446624155912025,0.12613656584720534,0.024797924358846465,2.4849066497880004,1.0458267985931322
