pair_id,symbol,event_day,control_day,calendar_year,parent_direction,side,clock_bucket,horizon,event_bp,control_bp,difference_bp
000852.SH:DEV_R1_A:39133:39124,000852.SH,2015-09-01,2015-09-01,2015,-1,SHORT,19,60,131.215326116,293.203796274,-161.988470158
000852.SH:DEV_R1_A:39166:8210,000852.SH,2015-09-01,2015-02-27,2015,-1,SHORT,20,60,-188.329550007,-31.4471633923,-156.882386614
000852.SH:DEV_R1_A:39186:14947,000852.SH,2015-09-01,2015-04-09,2015,-1,SHORT,21,60,-149.389932527,-145.036018879,-4.3539136483
000852.SH:DEV_R1_A:39327:19152,000852.SH,2015-09-01,2015-05-05,2015,-1,SHORT,28,60,400.835112135,3.54768414512,397.28742799
000852.SH:DEV_R1_A:39356:29998,000852.SH,2015-09-01,2015-07-08,2015,-1,SHORT,29,60,277.417082698,-170.505231719,447.922314417
000852.SH:DEV_R1_A:39377:30005,000852.SH,2015-09-02,2015-07-09,2015,-1,SHORT,19,60,-203.065516384,-280.242235241,77.1767188574
000852.SH:DEV_R1_A:39494:19827,000852.SH,2015-09-02,2015-05-08,2015,1,LONG,26,60,-321.785225039,110.686226796,-432.471451835
000852.SH:DEV_R1_A:39586:29986,000852.SH,2015-09-02,2015-07-08,2015,-1,SHORT,29,60,-289.788126014,-222.079053146,-67.7090728675
000852.SH:DEV_R1_A:39621:35046,000852.SH,2015-09-07,2015-08-07,2015,1,LONG,19,60,-118.758873639,106.933605181,-225.69247882
000852.SH:DEV_R1_A:39745:42857,000852.SH,2015-09-07,2015-09-24,2015,1,LONG,26,60,-140.438664139,43.7711333493,-184.209797488
000852.SH:DEV_R1_A:39776:42893,000852.SH,2015-09-07,2015-09-24,2015,1,LONG,27,60,-22.8093882675,7.70088692974,-30.5102751973
000852.SH:DEV_R1_A:39781:19620,000852.SH,2015-09-07,2015-05-07,2015,-1,SHORT,28,60,85.6716118492,-134.745962083,220.417573932
000852.SH:DEV_R1_A:39873:19239,000852.SH,2015-09-08,2015-05-06,2015,1,LONG,20,60,32.6136299738,110.282925978,-77.6692960041
000852.SH:DEV_R1_A:39955:42816,000852.SH,2015-09-08,2015-09-24,2015,1,LONG,22,60,6.03367062466,23.7011212159,-17.6674505913
000852.SH:DEV_R1_A:40007:4738,000852.SH,2015-09-08,2015-01-30,2015,-1,SHORT,27,60,-405.944430827,95.1650409936,-501.109471821
000852.SH:DEV_R1_A:40160:35099,000852.SH,2015-09-09,2015-08-07,2015,1,LONG,21,60,-74.0870340138,-54.5808598923,-19.5061741215
000852.SH:DEV_R1_A:40239:9530,000852.SH,2015-09-09,2015-03-06,2015,-1,SHORT,27,60,-65.7511137421,57.3735051783,-123.12461892
000852.SH:DEV_R1_A:40271:4748,000852.SH,2015-09-09,2015-01-30,2015,-1,SHORT,28,60,-53.6571229416,176.127053995,-229.784176936
000852.SH:DEV_R1_A:40281:4744,000852.SH,2015-09-09,2015-01-30,2015,-1,SHORT,28,60,-133.815565457,192.368882788,-326.184448245
000852.SH:DEV_R1_A:40323:19681,000852.SH,2015-09-10,2015-05-08,2015,1,LONG,19,60,121.608111786,61.3185385115,60.2895732748
000852.SH:DEV_R1_A:40370:1239,000852.SH,2015-09-10,2015-01-12,2015,1,LONG,20,60,-43.0381021935,30.0260796069,-73.0641818004
000852.SH:DEV_R1_A:40418:42816,000852.SH,2015-09-10,2015-09-24,2015,1,LONG,22,60,74.2216106774,23.7011212159,50.5204894614
000852.SH:DEV_R1_A:40490:54151,000852.SH,2015-09-10,2015-12-07,2015,1,LONG,27,60,-160.117924942,6.48496960908,-166.602894551
000852.SH:DEV_R1_A:40513:57544,000852.SH,2015-09-10,2015-12-25,2015,1,LONG,28,60,-16.6232796545,95.0877268511,-111.711006506
000852.SH:DEV_R1_A:40576:6481,000852.SH,2015-09-11,2015-02-11,2015,-1,SHORT,19,60,-47.9184018072,-76.3881700329,28.4697682257
000852.SH:DEV_R1_A:40683:13333,000852.SH,2015-09-11,2015-03-30,2015,1,LONG,26,60,-84.9144137749,48.4111107014,-133.325524476
000852.SH:DEV_R1_A:40743:19165,000852.SH,2015-09-11,2015-05-05,2015,-1,SHORT,28,60,-196.928458105,-10.5854385432,-186.343019562
