day,event_contribution_bp,control_contribution_bp,difference_contribution_bp,symbol,horizon,view
2016-05-13,0,13.8951673906,-13.8951673906,000852.SH,1,SIGNED
2016-05-16,0,0.332506986872,-0.332506986872,000852.SH,1,SIGNED
2016-05-17,-1.23749580912,-17.1315743191,15.89407851,000852.SH,1,SIGNED
2016-05-18,5.26665741036,10.5488661227,-5.28220871238,000852.SH,1,SIGNED
2016-05-19,-3.84939058242,0,-3.84939058242,000852.SH,1,SIGNED
2016-05-20,0,-6.01286713506,6.01286713506,000852.SH,1,SIGNED
2016-05-23,0.848066991629,2.241173809,-1.39310681737,000852.SH,1,SIGNED
2016-05-24,1.93633440059,0,1.93633440059,000852.SH,1,SIGNED
2016-05-25,10.1910783663,-5.05515549935,15.2462338657,000852.SH,1,SIGNED
2016-05-26,-11.456681617,0,-11.456681617,000852.SH,1,SIGNED
2016-05-27,-6.76560764541,0,-6.76560764541,000852.SH,1,SIGNED
2016-05-30,3.06774796486,0,3.06774796486,000852.SH,1,SIGNED
2016-05-31,0.0413723892763,0,0.0413723892763,000852.SH,1,SIGNED
2016-06-01,8.8919233712,0,8.8919233712,000852.SH,1,SIGNED
2016-06-02,2.77841533137,0,2.77841533137,000852.SH,1,SIGNED
2016-06-03,-3.97171081556,0,-3.97171081556,000852.SH,1,SIGNED
2016-06-06,-1.1016143907,0,-1.1016143907,000852.SH,1,SIGNED
2016-06-07,0,7.40534997774,-7.40534997774,000852.SH,1,SIGNED
2016-06-08,0,0.594916485471,-0.594916485471,000852.SH,1,SIGNED
2016-06-13,35.3174202364,-12.3962179993,47.7136382357,000852.SH,1,SIGNED
2016-06-14,20.7459543407,0,20.7459543407,000852.SH,1,SIGNED
2016-06-15,0.390262779787,1.27825423928,-0.887991459495,000852.SH,1,SIGNED
2016-06-16,6.64873929778,0,6.64873929778,000852.SH,1,SIGNED
2016-06-17,0.680376508939,0,0.680376508939,000852.SH,1,SIGNED
2016-06-20,0,-10.1882165542,10.1882165542,000852.SH,1,SIGNED
2016-06-21,4.09309784689,-1.02204721953,5.11514506642,000852.SH,1,SIGNED
2016-06-22,0.35113354362,0,0.35113354362,000852.SH,1,SIGNED
2016-06-23,5.50573026425,8.49023980382,-2.98450953957,000852.SH,1,SIGNED
