symbol,horizon,view,n,event_var_bp2,control_var_bp2,event_control_cov_bp2,covariance_term_bp2,difference_var_bp2,event_sd_bp,control_sd_bp,difference_sd_bp,event_control_correlation,event_share_of_difference,control_share_of_difference,covariance_share_of_difference,cancellation_relative_to_marginal_sum,top_1pct_centered_square_share,top_5pct_centered_square_share,variance_identity_error_bp2
000852.SH,120,LONG,919,25198.3526219,20743.978527,630.960192244,-1261.92038449,44680.4107644,158.739889826,144.027700554,211.377413089,0.0275975074017,0.563968687637,0.464274570715,-0.0282432583519,0.0274674870197,0.230210320832,0.547910806267,7.27595761418e-12
000852.SH,120,SHORT,833,56176.0988874,30548.5039198,4556.20216703,-9112.40433406,77612.1984731,237.014976082,174.781303118,278.589659666,0.109984687446,0.723805020249,0.393604414264,-0.117409434513,0.105072886345,0.197540677745,0.482969986808,5.82076609135e-11
000852.SH,240,POOLED_SIGNED,1752,92408.5246946,56110.3915319,2941.45007477,-5882.90014954,142636.016077,303.987704841,236.876321172,377.671836489,0.0408492242581,0.647862491089,0.393381651249,-0.0412441423375,0.0396104435651,0.166658124005,0.468827552229,2.91038304567e-11
000852.SH,240,POOLED_UNSIGNED,1752,92218.2212523,55739.3784326,3367.44947133,-6734.89894266,141222.700742,303.674531781,236.091885571,375.796089312,0.0469690370629,0.652998567281,0.394691350184,-0.0476899174656,0.0455191146451,0.163770270413,0.466375852814,5.82076609135e-11
000852.SH,240,YEAR_2015,645,181197.326052,104813.875152,-2153.95147034,4307.90294067,290319.104145,425.672792239,323.74971066,538.812680015,-0.0156296996708,0.624131596802,0.361029893161,0.0148385100366,-0.0150620077904,0.107610844396,0.336615981176,1.16415321827e-10
000852.SH,240,YEAR_2016,326,67626.4626196,39377.9420667,3578.03994268,-7156.07988536,99848.324801,260.050884674,198.438761503,315.987855464,0.0693362486512,0.677291910049,0.394377593667,-0.071669503716,0.0668764982744,0.127127248136,0.409202098974,0
000852.SH,240,YEAR_2017,96,14367.7782574,10834.2900856,7222.95947301,-14445.918946,10756.1493969,119.865667551,104.087895961,103.711857552,0.578922114847,1.3357734006,1.00726474557,-1.34303814617,0.573203704927,0.167087190901,0.661099177465,7.27595761418e-12
000852.SH,240,YEAR_2018,209,36238.8022774,25971.138388,7126.01746322,-14252.0349264,47957.905739,190.364918715,161.155634056,218.992935363,0.232281419497,0.755637714346,0.541540294302,-0.297178008648,0.229095780738,0.200209631215,0.406729467263,2.91038304567e-11
000852.SH,240,YEAR_2019,201,25529.0405504,19388.3999768,7779.05728832,-15558.1145766,29359.3259505,159.778097843,139.242234889,171.345633007,0.349654190904,0.869537692841,0.660383007752,-0.529920700593,0.346371351396,0.196223582282,0.42893473327,1.09139364213e-11
000852.SH,240,YEAR_2020,275,30111.1603824,25802.2696651,4467.01780037,-8934.03560074,46979.3944467,173.525676435,160.630849046,216.747305512,0.160259942329,0.640943986976,0.549225250111,-0.190169237087,0.159783357829,0.100790274048,0.351837993879,1.45519152284e-11
000852.SH,240,LONG,919,70384.8458854,44716.4275168,-1029.67558379,2059.35116758,117160.62457,265.301424582,211.462591294,342.287342112,-0.0183538544284,0.600755126937,0.381667712006,0.0175771610568,-0.0178916453894,0.202755848686,0.521504562207,5.82076609135e-11
000852.SH,240,SHORT,833,115945.424004,67867.1404728,8109.15113745,-16218.3022749,167594.262202,340.507597571,260.51322514,409.382782004,0.0914152839982,0.691822157158,0.404949069147,-0.0967712263049,0.0882328273973,0.145509221521,0.415129299736,5.82076609135e-11
